player_id,season,clubs,leagues,played,started,minutes,goals,yellow_cards,red_cards,votes,clean_sheets,was_goalkeeper
1K3Bwa74RN,2024,Northern Wolves Soccer Club,Reserve Cup; Master Builders SA Born to Build Challenge Cup; Saturday Division 3 A,6,2,205,1,0,0,0,0,false
1K3Bwa74RN,2025,Modbury Jets AFC,Guardian Insurance Brokers Over 35's; Guardian Insurance Brokers Over 35's Cup,10,8,640,1,0,0,0,0,false
1K3Bwa74RN,2026,Modbury Jets AFC,Guardian Insurance Over 35's Blue; Guardian Insurance Brokers Over 35's Cup,16,13,1040,14,1,0,0,0,false
1K3Bwa74RN,Winter 2023,Western United Soccer Club,Challenge Cup; Sunday Division 3,18,17,1495,8,3,0,0,0,false
1K3BwaYgLN,2026,Grange SC,Reserve Cup; Saturday Division Two Reserves,2,1,106,0,0,0,0,0,false
1K3BwjAQYN,2025,Salisbury Villa Soccer Club,Saturday Division Two Reserves; Sportal Saturday Division Two; Reserve Cup,9,7,648,0,0,0,0,0,false
1K3BwjAQYN,2026,Salisbury Villa Soccer Club,Saturday Division Two Reserves; Sportal Saturday Division Two,19,15,1517,1,2,0,0,0,false
1K3BwjAQYN,Winter 2023,Blue City Football Club,Sunday Division 4 Reserves,3,1,210,2,1,0,0,0,false
1K3BwqVRYN,2024,Southern Knights Football Club,Preseason Matches - Premier & Division 2; Preseason Matches - All Reserves; Sunday Division 2 B; Sunday Division 2 A; Reserve Cup; Master Builders SA Born to Build Challenge Cup,30,19,1600,5,2,0,0,0,true
1K3BwqVRYN,2025,Southern Knights Football Club,Sportal Sunday Division Two; Master Builders Born 2 Build Challenge Cup; Sunday Division Two Reserves,21,17,1568,2,3,0,0,0,false
1K3BwqVRYN,2026,Noarlunga United Soccer Club,Sunday Division Seven,15,13,1040,1,1,0,0,0,false
1K3BwqVRYN,Winter 2023,Noarlunga United Soccer Club,Challenge Cup; Sunday Division 2,19,19,1708,5,4,0,0,0,false
1K3BwrwnLN,2024,ADFC,Saturday Division 3 B; Saturday Division 3 A; Master Builders SA Born to Build Challenge Cup,21,11,1164,0,0,0,0,0,false
1K3BwrwnLN,2025,ADFC,Master Builders Born 2 Build Challenge Cup; Saturday Division Three Red; Saturday Division Three Reserves Red,19,8,827,0,2,1,0,0,false
1K3BwrwnLN,2026,ADFC,Reserve Cup; Master Builders Born to Build Challenge Cup; Saturday Division Three Reserves Red; Saturday Division Three Red,24,6,664,0,3,0,0,0,false
1K3BwrwnLN,Winter 2023,ADFC,Reserve Cup; Challenge Cup; Saturday Division 3 Reserves; Saturday Division 3,26,16,1401,0,3,1,0,0,false
1K3Bwv9bqN,2024,FK Beograd,Sunday Division 2 A; Sunday Division 2 B; Master Builders SA Born to Build Challenge Cup,14,13,1055,3,2,0,0,0,false
1K3Bwv9bqN,2025,FK Beograd,Sunday Division Eight,13,12,960,32,2,0,0,0,false
1K3Bwv9bqN,2026,FK Beograd,Sunday Division Seven,9,9,720,10,1,0,0,0,false
1K3Bwv9bqN,Winter 2023,FK Beograd,Sunday Division 2 Reserves; Reserve Cup,16,16,1381,12,4,0,0,0,false
1K3Bwww3ON,2024,Para Hills West Soccer Club,Sunday Division 8,3,2,160,0,0,0,0,0,false
1K3Bwww3ON,2026,Salisbury Inter Soccer Club,Sunday Division Seven; Sunday Division Six; C Team Cup,19,11,880,6,3,1,0,0,false
1K3BwyD4ON,2023,Elizabeth Grove,Under 15's JSL A; Under 15's JSL B; U15 Carl's Junior Boys Cup,26,20,1790,4,1,0,0,0,false
1K3BwyD4ON,2024,Gawler Eagles,U18 Trial Matches; State League 2 Under 18's; Federation Cup U18's; State League 2 Reserves; Under 16 JSL A,28,25,1966,0,0,0,0,0,false
1K3BwyD4ON,2025,Gawler Eagles,Under 18's; HPG Homes State League 2 North - Under 18's; Federation Cup U18's; HPG Homes State League 2 North - Reserves; HPG Homes State League 2 (18s) Final Series,35,31,3065,8,3,0,0,0,false
1K3BwyD4ON,2026,Gawler Eagles,Federation Cup Reserves; Reserves; HPG Homes State League 2 North - Under 18's; HPG Homes State League 2 North - Reserves; HPG Homes State League 2 North,19,16,1425,3,2,0,0,0,false
